year,cc,ex.rate
2005,NAD,0.15718121968122
2006,NAD,0.147780698182357
2007,NAD,0.141759901271455
2008,NAD,0.12117927286731
2009,NAD,0.118528465445263
2010,NAD,0.136575503335391
2011,NAD,0.137867891863098
2012,NAD,0.121799670609373
2013,NAD,0.103625354487622
2014,NAD,0.0922157287371325
2015,NAD,0.0784144529136619
2016,NAD,0.0679673827580085
2017,NAD,0.0750888850032057
2018,NAD,0.0755299523898947
2019,NAD,0.0691966621684889
2020,NAD,0.0607394216427433
2021,NAD,0.0657886231415643
2022,NAD,0.0652336021157919
2023,NAD,0.0640606578977785
2024,NAD,0.0628918605203088
2025,NAD,0.0617792687450607
2026,NAD,0.0632524190983842
1990,NGN,0.124410369098438
1991,NGN,0.100883322567927
1992,NGN,0.057457493545306
1993,NGN,0.0451182221798629
1994,NGN,0.0454547001662119
1995,NGN,0.0456721470019342
1996,NGN,0.0456946440053663
1997,NGN,0.0456912570166649
1998,NGN,0.0456913176973582
1999,NGN,0.0108296780320159
2000,NGN,0.00983315645714087
2001,NGN,0.00899025588445736
2002,NGN,0.00829341039952348
2003,NGN,0.00773856600278464
2004,NGN,0.00752512802156882
2005,NGN,0.0076176539000035
2006,NGN,0.00777291698866148
2007,NGN,0.00794702167394344
2008,NGN,0.00843406231389442
2009,NGN,0.00671681694891066
2010,NGN,0.00665344014307
2011,NGN,0.00649934330884449
2012,NGN,0.00634923346028072
2013,NGN,0.00635682249974911
2014,NGN,0.00630705551627584
2015,NGN,0.00517386733494618
2016,NGN,0.00394489245084251
2017,NGN,0.00327021281688088
2018,NGN,0.00326707797095771
2019,NGN,0.0030769201191383
2020,NGN,0.0027838997818639
2021,NGN,0.00263158110932666
2022,NGN,0.00263157969557329
2023,NGN,0.0026315772044774
2024,NGN,0.00263157885083774
2025,NGN,0.00263157775477758
2026,NGN,0.00263157827106703
1989,NIO,297.428571428571
1990,NIO,1
1991,NIO,0.234178021138418
1992,NIO,0.2
1993,NIO,0.159469291675583
1994,NIO,0.14872308462694
1995,NIO,0.132785938803002
1996,NIO,0.118543793511461
1997,NIO,0.105841791836439
1998,NIO,0.0944934863713278
1999,NIO,0.0846789662748928
2000,NIO,0.0788279948157749
2001,NIO,0.0745496974693627
2002,NIO,0.0701726106521593
2003,NIO,0.0662022639631795
2004,NIO,0.062747094440172
2005,NIO,0.0597577923367084
2006,NIO,0.056917820899039
2007,NIO,0.054202263599854
2008,NIO,0.0516214869807171
2009,NIO,0.0491554644501188
2010,NIO,0.0468263005672189
2011,NIO,0.0445930778987326
